zone,predictor,horizon,target_coverage,price_id,price_ratio,method,n,window_count,mean_errf,mean_capacity_cost,mean_exceedance_cost,coverage,width,interval_score,tuwr,towr,ard,under_gap,over_gap,relative_excess,overall_gap_pp,TUWR_pct
zone1,GBR,1,0.95,R01,1.0,Static,8472,7971,1.6986409423228084,1.6858934019062737,0.012747540416534366,0.9376770538243626,0.47356556233322294,0.6167963535302381,0.30334964245389545,0.038765525028227325,0.02608966431887018,0.020243023818484838,0.005846640500385341,0.0,-1.232294617563734,30.334964245389546
zone1,GBR,1,0.95,R01,1.0,TSC,8472,7971,1.879609985315474,1.8722254632157183,0.007384522099755917,0.9652974504249292,0.5259060289931793,0.608878187417403,0.0,0.06548739179525781,0.01608688639174153,0.0007258454755631997,0.015361040916178329,10.653754921578606,1.5297450424929249,0.0
zone1,GBR,1,0.99,R01,1.0,ACI,8472,7971,2.6809486474132025,2.6797371269095813,0.0012115205036214442,0.9932719546742209,0.7527351480083092,0.8207980976499633,0.0,0.0,0.005358800652364824,0.0009669874724447426,0.004391813179920082,3.2552302190448357,0.32719546742209227,0.0
zone1,GBR,1,0.99,R01,1.0,AgACI,8472,7971,2.6989591323363262,2.6977761813108576,0.001182951025468588,0.9943342776203966,0.7578022981210274,0.8242602209001615,0.0,0.0,0.005390522787963513,0.0004989515565352842,0.004891571231428228,3.9488939223343955,0.43342776203966205,0.0
zone1,GBR,1,0.99,R01,1.0,EEE,8472,7971,2.646741276821031,2.645382584334011,0.0013586924870200377,0.9911473087818697,0.7430849955994413,0.8194160341960725,0.039141889348889715,0.0,0.0066025951216015216,0.002626126852698163,0.003976468268903359,1.9377525683293317,0.11473087818697492,3.9141889348889713
zone1,GBR,1,0.99,R01,1.0,EnbPI-RH,8472,7971,2.610968020733419,2.6093918957797193,0.001576124953700708,0.9911473087818697,0.7329752516235165,0.8215215973370392,0.002258185923974407,0.0,0.006351327132283093,0.0025004928580389498,0.0038508342742441426,0.5599657179264916,0.11473087818697492,0.22581859239744073
zone1,GBR,1,0.99,R01,1.0,Static,8472,7971,2.5964289089529498,2.594625133335887,0.0018037756170624375,0.990084985835694,0.7288272846449121,0.8301629934686443,0.07677832141512984,0.0,0.009191623205548694,0.0045053497499865525,0.004686273455562139,0.0,0.008498583569405138,7.677832141512984
zone1,GBR,1,0.99,R01,1.0,TSC,8472,7971,2.6567369187140537,2.6554713601395763,0.0012655585744775037,0.9936260623229461,0.7459189213875214,0.8170177177064823,0.0,0.0,0.005735164973027224,0.0009669874724447426,0.00476817750058248,2.322729097382603,0.3626062322946155,0.0
zone1,GBR,3,0.1,R01,1.0,ACI,8460,7959,0.6268874009425385,0.283729346778107,0.3431580541644315,0.22482269503546098,0.0796992547129514,0.29390528103282126,0.0,1.0,0.12144741801733888,0.0,0.12144741801733888,17.213732471771603,12.482269503546098,0.0
zone1,GBR,3,0.1,R01,1.0,AgACI,8460,7959,0.6801631893354046,0.36201264413893175,0.31815054519647296,0.2773049645390071,0.101688944982846,0.300284790923216,0.0,1.0,0.17456563100174102,0.0,0.17456563100174102,27.175097141910378,17.73049645390071,0.0
zone1,GBR,3,0.1,R01,1.0,EEE,8460,7959,0.593051953397019,0.23047878182825335,0.3625731715687656,0.16560283687943259,0.06474123085063296,0.29106655642414464,0.0,0.7018469656992085,0.06428750919893023,1.7949132159460131e-06,0.06428571428571428,10.887270828579787,6.560283687943258,0.0
zone1,GBR,3,0.1,R01,1.0,EnbPI-RH,8460,7959,0.5452162869793632,0.14745975089683513,0.3977565360825281,0.10851063829787234,0.04142127834180762,0.28970875404875396,0.03279306445533359,0.12627214474180173,0.02512609265342021,0.009366305889110265,0.01575978676430994,1.9430856405256325,0.8510638297872339,3.2793064455333587
zone1,GBR,3,0.1,R01,1.0,Static,8460,7959,0.5348241948472299,0.12871338549913947,0.4061108093480904,0.09219858156028368,0.03615544536492682,0.28965782323514555,0.053147380324161324,0.030531473803241612,0.023618365552025563,0.01703731624575952,0.006581049306266041,0.0,-0.7801418439716323,5.314738032416132
zone1,GBR,3,0.1,R01,1.0,TSC,8460,7959,0.6050474237478854,0.24970223756948282,0.3553451861784026,0.19397163120567376,0.07014107796895584,0.29195455248730956,0.0,0.9837919336600075,0.09168102597239423,0.0,0.09168102597239423,13.130151847508408,9.397163120567376,0.0
zone1,GBR,3,0.2,R01,1.0,ACI,8460,7959,0.7542956920166941,0.47857469624590365,0.2757209957707906,0.35212765957446807,0.13443109445109652,0.32805538923395505,0.0,1.0,0.14784969396729666,0.0,0.14784969396729666,22.158450879762427,15.212765957446805,0.0
zone1,GBR,3,0.2,R01,1.0,AgACI,8460,7959,0.8267544091454336,0.5752231187289027,0.25153129041653094,0.4095744680851064,0.16157952773283785,0.3382166698792781,0.0,1.0,0.20609238418322476,0.0,0.20609238418322476,33.8931654364854,20.95744680851064,0.0
zone1,GBR,3,0.2,R01,1.0,EEE,8460,7959,0.7006955296724455,0.40435981959679523,0.29633571007565046,0.28829787234042553,0.11358421898786382,0.32168513898480927,0.0,0.6837542404824727,0.08575826108807638,1.7500403855473662e-05,0.08574076068422093,13.477885859735416,8.829787234042552,0.0
