zone_or_farm,price_id,method,rank,excess
zone9,R10,CLARA,2.663636363636364,0.72254651618414645
zone9,R10,EEE,4.9795454545454554,3.9806571562555568
zone9,R10,EnbPI-RH,6.1340909090909088,9.1211128189292339
zone9,R10,LinUCB,4.7295454545454554,2.518786110102162
zone9,R10,Static,6.6045454545454554,11.893140282568488
zone9,R10,TSC,5.1045454545454554,3.5894724786784158
zone9,R20,ACI,4.7954545454545459,3.6604967642000847
zone9,R20,AgACI,3.663636363636364,1.3438114598338251
zone9,R20,CART,5.1090909090909093,5.7720026820072077
zone9,R20,CLARA,2.3500000000000001,0.49075677470707951
zone9,R20,EEE,5.2227272727272727,6.7061596991962791
zone9,R20,EnbPI-RH,6.7704545454545455,15.872098541174052
zone9,R20,LinUCB,4.6181818181818182,3.8619197178022366
zone9,R20,Static,7.4749999999999996,21.016910578134716
zone9,R20,TSC,4.9954545454545451,5.2139883196702881
zone1,ALL,ACI,6.333636363636364,8.8680649216301646
zone1,ALL,AgACI,6.5095454545454547,10.990039652992246
zone1,ALL,CART,4.5454545454545459,5.4311730218600474
zone1,ALL,CLARA,2.6190909090909091,1.7477841806773753
zone1,ALL,EEE,5.042272727272727,6.7105130524575483
zone1,ALL,EnbPI-RH,5.0259090909090913,7.5232999555784197
zone1,ALL,LinUCB,4.5636363636363644,3.7986415055424176
zone1,ALL,Static,4.4950000000000001,8.0436404361874025
zone1,ALL,TSC,5.8654545454545453,7.7592282007504831
