scope,metric,baseline,clara_mean,baseline_mean,difference,ci_low,ci_high,sign_flip_p,n_zones,bootstrap_draws,bootstrap_seed,relative_difference_pct,relative_ci_low_pct,relative_ci_high_pct,holm_p
R10,tuwr,EnbPI-RH,0.05505049544758085,0.16746835374419258,-0.11241785829661173,-0.12110136277316645,-0.10588237808061178,0.001953125,10,10000,20260925,,,,0.017578125
R10,tuwr,TSC,0.05505049544758085,0.017047101747731205,0.03800339369984965,0.03296612415182397,0.04323962675604565,0.001953125,10,10000,20260925,,,,0.017578125
R10,tuwr,EEE,0.05505049544758085,0.07920130117183244,-0.024150805724251587,-0.037849347733383755,-0.012964265258228497,0.001953125,10,10000,20260925,,,,0.017578125
R10,tuwr,CART,0.05505049544758085,0.11544578613812509,-0.06039529069054424,-0.07083573319194311,-0.051133090996684276,0.001953125,10,10000,20260925,,,,0.017578125
R10,tuwr,LinUCB,0.05505049544758085,0.07116087996440094,-0.01611038451682009,-0.023426699068484047,-0.0093875027327745,0.001953125,10,10000,20260925,,,,0.017578125
R10,tuwr,LinUCB (pre-period initialization),0.05505049544758085,0.05919344295615975,-0.0041429475085789,-0.018850317096676856,0.00999939900345318,0.59765625,10,10000,20260925,,,,0.59765625
R20,mean_errf,Static,4.8806939237628155,6.006184045953014,-1.1254901221901987,-1.1755078742112877,-1.0699920870000261,0.001953125,10,10000,20260925,-18.738855046384362,-19.74451673909295,-17.681682292751336,0.017578125
R20,mean_errf,ACI,4.8806939237628155,5.04744713356501,-0.1667532098021943,-0.17931894909209817,-0.15325016631464705,0.001953125,10,10000,20260925,-3.3037138456251003,-3.419221891528708,-3.168037148669068,0.017578125
R20,mean_errf,AgACI,4.8806939237628155,4.860495850529507,0.020198073233308557,0.01321675785566407,0.027425992297732658,0.00390625,10,10000,20260925,0.4155558168228657,0.2829097065271724,0.5447133637125978,0.017578125
R20,mean_errf,EnbPI-RH,4.8806939237628155,5.741381025417487,-0.8606871016546715,-0.9039145072664537,-0.8191101501260365,0.001953125,10,10000,20260925,-14.990942037191946,-15.290715103444596,-14.762461189796587,0.017578125
R20,mean_errf,TSC,4.8806939237628155,5.16721481498862,-0.28652089122580415,-0.31198478161659715,-0.25993350824208483,0.001953125,10,10000,20260925,-5.544977352106384,-5.802556424306587,-5.250133716758812,0.017578125
R20,mean_errf,EEE,4.8806939237628155,5.238668322786825,-0.35797439902400974,-0.37960001425378637,-0.33470232442419484,0.001953125,10,10000,20260925,-6.833309096262418,-7.050553720042238,-6.595042280165296,0.017578125
R20,mean_errf,CART,4.8806939237628155,5.125025413567045,-0.24433148980422992,-0.270902327179585,-0.2177119934244796,0.001953125,10,10000,20260925,-4.767420063077776,-5.149227646691659,-4.334163203363633,0.017578125
R20,mean_errf,LinUCB,4.8806939237628155,5.061703895806781,-0.18100997204396502,-0.22148554568392295,-0.14799097897687888,0.001953125,10,10000,20260925,-3.5760679757248948,-4.266344047095705,-2.9920158731178437,0.017578125
R20,mean_errf,LinUCB (pre-period initialization),4.8806939237628155,5.057242785576193,-0.17654886181337776,-0.2498759917042298,-0.11426463768129753,0.001953125,10,10000,20260925,-3.4910102065282334,-4.793852089996133,-2.324787513750134,0.017578125
R20,tuwr,Static,0.03717284065385153,0.29536959294357634,-0.2581967522897248,-0.29606049174240406,-0.21821915350924326,0.001953125,10,10000,20260925,,,,0.017578125
