price_id,regime,method,changed_fraction,delta_ERRF_contribution,delta_capacity_contribution,delta_exceedance_contribution,delta_covered_contribution,delta_width_contribution
R02,ordinary,NO_BACKOFF_EXACT,0.093030141453857837,0.0041661606017851707,0.0065016480497379929,-0.0023354874479528222,0.0018473083996485707,0.0018263056319488737
R02,ordinary,NO_G,0.26836525967830599,-0.015715468314864301,-0.026246928116368841,0.010531459801504536,-0.0080236204090496539,-0.0073727326169575379
R02,ordinary,NO_RWG,0.39267826952853635,-0.022935757572950317,-0.034551787184031457,0.01161602961108114,-0.010741867123310846,-0.0097055581977616434
R02,ordinary,NO_SCREEN,0.28999404639087112,-0.029118464603196198,-0.048667578750116118,0.019549114146919913,-0.015833035175449806,-0.013670668188234866
R02,ordinary,WIDTH_ONLY,0.63857243326949198,-0.07033126975473819,-0.11645823026882371,0.046126960514085512,-0.041771564709035355,-0.032712986030568464
R02,ordinary,WIDTH_SAME_SCREEN,0.62150995113344187,-0.044862051141357204,-0.075644848155210886,0.030782797013853679,-0.028537080034295483,-0.021248552852587331
R02,overall,FIX_REFERENCE_PRICE,0.64282449790630125,0.074761700141070531,0.15579761291411012,-0.081035912773039606,0.066042958478026006,0.043763374414075913
R02,overall,GLOBAL_SCORE_SAME_SCREEN,0.12651783042352535,-0.0044817444911529978,-0.0074270782798189789,0.0029453337886659837,-0.0010715919563118979,-0.0020862579437693775
R02,overall,NO_BACKOFF_EXACT,0.088122737926728506,0.0046337132361440412,0.0075768758145811563,-0.0029431625784371138,0.0021809532194430807,0.002128335902972235
R02,overall,NO_G,0.33694527793270879,-0.016336064643851962,-0.025895988318817821,0.009559923674965852,-0.0076726226419001013,-0.0072741540221398365
R02,overall,NO_RWG,0.45857692140446682,-0.041514190298370501,-0.072253012478574144,0.030738822180203639,-0.023457615037613302,-0.020295790022071387
R02,overall,NO_SCREEN,0.42542392630034875,-0.051007172881869602,-0.09330891087446895,0.042301737992599349,-0.030495808526723865,-0.026210368223165442
R02,overall,WIDTH_ONLY,0.6669751197878333,-0.086810224594359442,-0.15607763824663529,0.069267413652275872,-0.053048248967998056,-0.043842033215346993
R02,overall,WIDTH_SAME_SCREEN,0.5728503580367873,-0.040120628385381163,-0.071919509256452893,0.031798880871071723,-0.025192705716941016,-0.020202109341700244
R02,ramp,FIX_REFERENCE_PRICE,0.65634219831270146,0.088931465096461174,0.18712222029557837,-0.0981907551991172,0.067762438615555615,0.052562421431342245
R02,ramp,GLOBAL_SCORE_SAME_SCREEN,0.097043605702590158,-0.0029841295949953211,-0.0055755696389717538,0.0025914400439764349,-0.00074787963038587513,-0.0015661712469021791
R02,ramp,NO_BACKOFF_EXACT,0.10931175387978506,0.0032566970758068914,0.0055853218459254918,-0.0023286247701186005,0.0014605049331939362,0.0015689106308779479
R02,ramp,NO_G,0.41520826886623141,-0.016670434510845496,-0.024822595487450458,0.0081521609766049621,-0.0063873736167899455,-0.0069726391818681049
R02,ramp,NO_RWG,0.60096687707026297,-0.075446049630450596,-0.13815603117105199,0.062709981540601395,-0.046823615227001444,-0.038807873924452806
R02,ramp,NO_SCREEN,0.61345556345233487,-0.086793573892377615,-0.16314065780426518,0.07634708391188752,-0.054872592364769948,-0.045826027473108183
R02,ramp,WIDTH_ONLY,0.74432082767766039,-0.1192100965486274,-0.2231634932525004,0.10395339670387302,-0.074686618354759232,-0.062686374509129325
R02,ramp,WIDTH_SAME_SCREEN,0.50432202105223634,-0.036942048431891764,-0.070712834585836215,0.033770786153944438,-0.022667237855397371,-0.019863155782538257
R05P6179775281,ordinary,FIX_REFERENCE_PRICE,0,0,0,0,0,0
R05P6179775281,ordinary,GLOBAL_SCORE_SAME_SCREEN,0.80766139827998396,0.02855804332038573,-0.00080538933844508402,0.029363432658830818,-0.023250938561494901,-0.00022623296023738617
