zone_or_farm,price_id,regime,method,ERRF,capacity,exceedance,coverage,width,TUWR,TOWR,ARD,under_gap,over_gap,IS,below_floor
zone1,R01,ordinary,WIDTH_SAME_SCREEN,1.399028993092571,1.1893941650090896,0.20963482808348091,0.57881247028571459,0.33363821640346786,0.26672557256584517,0.1302592115151226,0.056964463629535257,0.036233734084356602,0.020730729545178621,0.61723723037461753,0.21363636363636362
zone1,R01,overall,CLARA,1.583579621327325,1.3673946509687778,0.21618497035854692,0.58769412689234457,0.38332379088065677,0.20869775298934076,0.17267357068169556,0.056565670111283682,0.028733435552504877,0.027832234558778781,0.65545837268342599,0.10000000000000001
zone1,R01,overall,FEASIBLE_STATE_ORACLE,1.5722551675152452,1.3545405047570047,0.21771466275824006,0.58491715583092574,0.37971307565263079,0.21936463367504835,0.16163207475665112,0.056163308081980313,0.02988549114781042,0.026277816934169855,0.6587064527139459,0.13636363636363635
zone1,R01,overall,FIX_REFERENCE_PRICE,1.7158368719994921,1.5455634089467776,0.17027346305271407,0.66392358746118985,0.43337119480706104,0.080785916193575905,0.50321839898768128,0.094319037892019161,0.0091567887185118463,0.085162249173507287,0.65670507686766011,0.018181818181818181
zone1,R01,overall,GLOBAL_SCORE_SAME_SCREEN,1.5772978368981116,1.3606331255466546,0.21666471135145654,0.58733402782638111,0.38142448598680218,0.21312445989052425,0.17397040072415459,0.057175562669748339,0.029227871040167868,0.027947691629580447,0.6575146531756515,0.11363636363636363
zone1,R01,overall,NO_BACKOFF_EXACT,1.587592025486203,1.3724292116232251,0.21516281386297806,0.58958038546039371,0.38473799331168118,0.20439159247194882,0.17958739269953086,0.05701785077406922,0.028025758318998624,0.028992092455070562,0.65654601190856543,0.10000000000000001
zone1,R01,overall,NO_G,1.5645960094230922,1.3448755338017044,0.21972047562138727,0.58134890976805309,0.37699819617080471,0.23079960908243574,0.15105930527474762,0.055894603054544502,0.031508339941296599,0.024386263113247875,0.65527497837237758,0.14999999999999999
zone1,R01,overall,NO_RWG,1.5345605947817866,1.3062432700902171,0.22831732469156943,0.56924863536841774,0.36614643670128588,0.29666090226563885,0.13647906519586209,0.063434562614303622,0.041529763623792189,0.021904798990511429,0.6612990780114496,0.42727272727272725
zone1,R01,overall,NO_SCREEN,1.5221034427506444,1.2874213713151323,0.23468207143551217,0.56268512273355353,0.36085938648356508,0.32418351634202019,0.12776223704677483,0.066827156071187971,0.0466191524325325,0.020208003638655433,0.66202164674954789,0.49545454545454548
zone1,R01,overall,OUTCOME_ORACLE,1.479226015261403,1.2366433372139216,0.24258267804748121,0.54123126950619938,0.34659589375850619,0.41295564297774989,0.072010199011606615,0.07115109421115659,0.059289517338815378,0.0118615768723412,0.66012652077724332,0.69090909090909092
zone1,R01,overall,STATE_ORACLE,1.5072738123991762,1.2698668250401077,0.23740698735906832,0.55742322919025511,0.35592833415911995,0.34308288506512408,0.10798747515218536,0.066125383582393629,0.048829495847570632,0.017295887734822952,0.66658391865388145,0.58181818181818179
zone1,R01,overall,WIDTH_ONLY,1.479226015261403,1.2328592259366946,0.24636678932470835,0.54120407128093728,0.34553294115254352,0.41314633534072776,0.072009048991481264,0.071172062829811325,0.059311609826497663,0.011860453003313644,0.6766392629098934,0.69090909090909092
zone1,R01,overall,WIDTH_SAME_SCREEN,1.5348765015878365,1.3046048175262981,0.230271684061538,0.5644500162636763,0.36568619721703916,0.30179611666157807,0.10563404052735832,0.058549034987944525,0.041271202093028703,0.017277832894915822,0.66780952820308026,0.43181818181818182
zone1,R01,ramp,CLARA,1.8202349580778017,1.5747125511761642,0.24552240690163749,0.56834624776320064,0.44135327829715409,0.24488077531316985,0.13394346529542178,0.055874289911572082,0.033839112951019358,0.0220351769605527,0.74293810879792332,0.49090909090909091
zone1,R01,ramp,FEASIBLE_STATE_ORACLE,1.8118909181832483,1.5653439601938668,0.2465469579893817,0.56638730058861819,0.43872165161673343,0.25666580187205257,0.12453793619735064,0.055815285055019537,0.03509449281562993,0.02072079223938959,0.7467060508422888,0.51818181818181819
zone1,R01,ramp,FIX_REFERENCE_PRICE,1.991686716213825,1.8041541031888106,0.18753261302501417,0.64951529815421671,0.50580315245800989,0.091761428929543642,0.46581174454061702,0.087824411479388062,0.010756107245257183,0.077068304234130872,0.74464431095173389,0.10000000000000001
zone1,R01,ramp,GLOBAL_SCORE_SAME_SCREEN,1.8158377279480789,1.5699232241009944,0.24591450384708435,0.56782094406271177,0.44000796170300532,0.2506153292221624,0.13563034882814221,0.056638374078803254,0.034441469457319303,0.022196904621483923,0.7451091504526377,0.49090909090909091
zone1,R01,ramp,NO_BACKOFF_EXACT,1.8227723429266283,1.5782019754881982,0.24457036743843047,0.5692337503993532,0.44233345366570298,0.23942575277249051,0.14040797409966932,0.05607824903725913,0.032999367807864471,0.023078881229394648,0.74439664832156083,0.48181818181818181
zone1,R01,ramp,NO_G,1.7949225996225744,1.546246662761511,0.24867593686106323,0.56136960939162261,0.43335724222562222,0.27032637042334051,0.11470956608647649,0.05587734820860904,0.036945316933209849,0.018932031275399164,0.74231703340233124,0.5
zone1,R01,ramp,NO_RWG,1.7100022006962743,1.4337309448133178,0.27627125588295653,0.51811758472740976,0.40175170347612987,0.34386214811126165,0.10410770339874856,0.065671066511403572,0.048673296096914467,0.016997770414489081,0.75496011356961512,0.68181818181818177
