zone_or_farm,predictor,horizon_steps,target_coverage,method,coverage,TUWR,width,overall_gap_pp,TUWR_pct
zone1,MLP,1,0.59999999999999987,EEE,0.63785068949120305,0.042340722987816999,0.20647793262618061,3.7850689491203071,4.2340722987817054
zone1,MLP,1,0.69999999999999984,Static,0.62986210175939128,0.45296584781306171,0.19117435724237319,-7.013789824060856,45.296584781306166
zone1,MLP,1,0.69999999999999984,ACI,0.77555872563005235,0,0.28508267914048918,7.5558725630052388,0
zone1,MLP,1,0.69999999999999984,AgACI,0.79144079885877305,0,0.30636524461102183,9.1440798858773196,0
zone1,MLP,1,0.69999999999999984,EnbPI-RH,0.70128388017118404,0.1993209506690633,0.23103128447071899,0.12838801711840811,19.932095066906328
zone1,MLP,1,0.69999999999999984,TSC,0.76481217308606753,0,0.27459405807142218,6.481217308606757,0
zone1,MLP,1,0.69999999999999984,EEE,0.72990965287684262,0.058617934891152301,0.25341339136615121,2.9909652876842663,5.8617934891152395
zone1,MLP,1,0.80000000000000004,Static,0.74132192106514505,0.45536249251048527,0.25268338169998728,-5.8678078934854998,45.536249251048531
zone1,MLP,1,0.80000000000000004,ACI,0.85325725154541132,0,0.34783684884752009,5.3257251545411277,0
zone1,MLP,1,0.80000000000000004,AgACI,0.86600095102234886,0,0.36655848097123339,6.600095102234893,0
zone1,MLP,1,0.80000000000000004,EnbPI-RH,0.80161673799334277,0.16486918314359891,0.2987427641529144,0.16167379933428311,16.486918314359897
zone1,MLP,1,0.80000000000000004,TSC,0.84450784593437944,0,0.3363394146858964,4.4507845934379393,0
zone1,MLP,1,0.80000000000000004,EEE,0.82206371849738458,0.067904933093668796,0.31645536891791282,2.2063718497384643,6.7904933093668864
zone1,MLP,1,0.90000000000000002,Static,0.8571564431764146,0.46744557619332933,0.35252491564012339,-4.2843556823585436,46.74455761933293
zone1,MLP,1,0.90000000000000002,ACI,0.92448882548739875,0,0.44516249712028688,2.4488825487398942,0
zone1,MLP,1,0.90000000000000002,AgACI,0.93219210651450324,0,0.46535007906085413,3.2192106514503105,0
zone1,MLP,1,0.90000000000000002,EnbPI-RH,0.90061816452686627,0.164669462752147,0.4098688493551596,0.061816452686635999,16.466946275214699
zone1,MLP,1,0.90000000000000002,TSC,0.91830718021873525,0,0.43587113122263688,1.830718021873512,0
zone1,MLP,1,0.90000000000000002,EEE,0.90898716119828804,0.0675054923107649,0.41822658529410389,0.89871611982881294,6.7505492310764925
zone1,MLP,1,0.94999999999999996,Static,0.92715168806466963,0.353505092869982,0.45315382663202008,-2.2848311935330434,35.350509286998204
zone1,MLP,1,0.94999999999999996,ACI,0.95853542558250115,0.0067904933093668003,0.53993844558341864,0.85354255825011993,0.67904933093668862
zone1,MLP,1,0.94999999999999996,AgACI,0.96271992391821204,0,0.55028698764340045,1.2719923918212084,0
zone1,MLP,1,0.94999999999999996,EnbPI-RH,0.94693295292439361,0.21899340922708199,0.5031447523501672,-0.30670470756062318,21.899340922708209
zone1,MLP,1,0.94999999999999996,TSC,0.95549215406562038,0.036249251048532001,0.52658575849742995,0.54921540656205348,3.6249251048532054
zone1,MLP,1,0.94999999999999996,EEE,0.95330480266286244,0.086778510085879695,0.51163100305225473,0.33048026628625932,8.677851008587977
zone1,MLP,1,0.98999999999999999,Static,0.98259629101283885,0.20651088476133411,0.6436928715864263,-0.74037089871611395,20.651088476133413
zone1,MLP,1,0.98999999999999999,ACI,0.99010936757013801,0.043039744357898903,0.72524353873921021,0.0109367570137908,4.3039744357898941
zone1,MLP,1,0.98999999999999999,AgACI,0.99039467427484562,0.026762532454563601,0.72579549046448344,0.039467427484551801,2.676253245456361
zone1,MLP,1,0.98999999999999999,EnbPI-RH,0.98601997146932963,0.15268623926502889,0.68220872014559875,-0.39800285306704758,15.268623926502896
