zone,price_id,target_predictor,source_predictor,ERRF
zone3,R05P6179775281,GBR,MLP,2.5784534393418688
zone3,R05P6179775281,GBR,QRLSTM,2.5704824666250197
zone3,R05P6179775281,GBR,Ridge,2.5681369788872304
zone3,R05P6179775281,MLP,GBR,2.6567876513040063
zone3,R05P6179775281,MLP,MLP,2.66246223604779
zone3,R05P6179775281,MLP,QRLSTM,2.650557372207665
zone3,R05P6179775281,MLP,Ridge,2.651932079480193
zone3,R05P6179775281,QRLSTM,GBR,2.6807751909790065
zone3,R05P6179775281,QRLSTM,MLP,2.690835385669885
zone3,R05P6179775281,QRLSTM,QRLSTM,2.6728980675468277
zone3,R05P6179775281,QRLSTM,Ridge,2.6891556695501397
zone3,R05P6179775281,Ridge,GBR,2.5804382261668657
zone3,R05P6179775281,Ridge,MLP,2.5934695715272875
zone3,R05P6179775281,Ridge,QRLSTM,2.587414214786008
zone3,R05P6179775281,Ridge,Ridge,2.572226036059353
zone3,R10,GBR,GBR,3.2530169820721437
zone3,R10,GBR,MLP,3.2617193130291535
zone3,R10,GBR,QRLSTM,3.2509609860153157
zone3,R10,GBR,Ridge,3.2701872672796726
zone3,R10,MLP,GBR,3.4725250958843596
zone3,R10,MLP,MLP,3.478233309064296
zone3,R10,MLP,QRLSTM,3.4621129590125395
zone3,R10,MLP,Ridge,3.475328987309424
zone3,R10,QRLSTM,GBR,3.5003568770297475
zone3,R10,QRLSTM,MLP,3.5104134630267536
zone3,R10,QRLSTM,QRLSTM,3.4921427598299815
zone3,R10,QRLSTM,Ridge,3.51794671854768
zone3,R10,Ridge,GBR,3.262302144940379
zone3,R10,Ridge,MLP,3.2688635895461062
zone3,R10,Ridge,QRLSTM,3.261645866210618
zone3,R10,Ridge,Ridge,3.2598576293212833
zone3,R20,GBR,GBR,4.726760186777142
zone3,R20,GBR,MLP,4.742253470136253
zone3,R20,GBR,QRLSTM,4.724994098714911
zone3,R20,GBR,Ridge,4.773580834318146
zone3,R20,MLP,GBR,5.264086268758768
zone3,R20,MLP,MLP,5.260185075066632
zone3,R20,MLP,QRLSTM,5.242818420747372
zone3,R20,MLP,Ridge,5.267365778253113
zone3,R20,QRLSTM,GBR,5.27306302921009
zone3,R20,QRLSTM,MLP,5.303754811146601
zone3,R20,QRLSTM,QRLSTM,5.271963447202495
zone3,R20,QRLSTM,Ridge,5.320518034355788
zone3,R20,Ridge,GBR,4.723027770830717
zone3,R20,Ridge,MLP,4.7269718364705025
zone3,R20,Ridge,QRLSTM,4.716472753245188
zone3,R20,Ridge,Ridge,4.719022974326088
zone4,R01,GBR,GBR,1.6761569884850345
zone4,R01,GBR,MLP,1.6878869265378176
zone4,R01,GBR,QRLSTM,1.6800225172249044
zone4,R01,GBR,Ridge,1.679958267241211
zone4,R01,MLP,GBR,1.599255563886892
zone4,R01,MLP,MLP,1.6243123582873884
zone4,R01,MLP,QRLSTM,1.603302124496799
zone4,R01,MLP,Ridge,1.6129939383904008
zone4,R01,QRLSTM,GBR,1.5802522277170143
zone4,R01,QRLSTM,MLP,1.5939197223533499
zone4,R01,QRLSTM,QRLSTM,1.578698346320559
zone4,R01,QRLSTM,Ridge,1.5881344403905107
zone4,R01,Ridge,GBR,1.679297292418716
zone4,R01,Ridge,MLP,1.7022754295567304
zone4,R01,Ridge,QRLSTM,1.688263511732839
zone4,R01,Ridge,Ridge,1.684544250123175
zone4,R02,GBR,GBR,1.8904267641052037
zone4,R02,GBR,MLP,1.9010106651246206
zone4,R02,GBR,QRLSTM,1.8949906241101793
zone4,R02,GBR,Ridge,1.8932091430917712
zone4,R02,MLP,GBR,1.8657591202598747
zone4,R02,MLP,MLP,1.8877002407578274
zone4,R02,MLP,QRLSTM,1.870540383120177
zone4,R02,MLP,Ridge,1.8746078735895053
zone4,R02,QRLSTM,GBR,1.8400966610880827
zone4,R02,QRLSTM,MLP,1.8522516419630464
zone4,R02,QRLSTM,QRLSTM,1.83926104447399
zone4,R02,QRLSTM,Ridge,1.8445031198505826
zone4,R02,Ridge,GBR,1.9183917364722007
zone4,R02,Ridge,MLP,1.9405879097687133
zone4,R02,Ridge,QRLSTM,1.927457615919639
zone4,R02,Ridge,Ridge,1.9225143164243812
zone4,R05P6179775281,GBR,GBR,2.577301663240724
zone4,R05P6179775281,GBR,MLP,2.5873329367803124
zone4,R05P6179775281,GBR,QRLSTM,2.5786843007677165
zone4,R05P6179775281,GBR,Ridge,2.5851547658487637
zone4,R05P6179775281,MLP,GBR,2.6905875196665234
zone4,R05P6179775281,MLP,MLP,2.704606103670413
zone4,R05P6179775281,MLP,QRLSTM,2.6888336810109656
zone4,R05P6179775281,MLP,Ridge,2.6979415993954805
zone4,R05P6179775281,QRLSTM,GBR,2.64390252466911
zone4,R05P6179775281,QRLSTM,MLP,2.6506165789915612
zone4,R05P6179775281,QRLSTM,QRLSTM,2.6327933509789223
zone4,R05P6179775281,QRLSTM,Ridge,2.6504342725892407
zone4,R05P6179775281,Ridge,GBR,2.6557459351839037
zone4,R05P6179775281,Ridge,MLP,2.673588836150556
zone4,R05P6179775281,Ridge,QRLSTM,2.6610154223589797
zone4,R05P6179775281,Ridge,Ridge,2.6576148466640386
zone4,R10,GBR,GBR,3.288510549313915
zone4,R10,GBR,MLP,3.2941484893991664
zone4,R10,GBR,QRLSTM,3.2832153001535582
zone4,R10,GBR,Ridge,3.301169859090995
zone4,R10,MLP,GBR,3.5442305179822107
zone4,R10,MLP,MLP,3.557575089203045
zone4,R10,MLP,QRLSTM,3.5425802335601433
zone4,R10,MLP,Ridge,3.556880822450278
zone4,R10,QRLSTM,GBR,3.466542231303286
zone4,R10,QRLSTM,MLP,3.485203964623369
zone4,R10,QRLSTM,QRLSTM,3.465868562308874
zone4,R10,QRLSTM,Ridge,3.494662178071921
zone4,R10,Ridge,GBR,3.394022884907884
zone4,R10,Ridge,MLP,3.4107051666846195
zone4,R10,Ridge,QRLSTM,3.3938489268200756
zone4,R10,Ridge,Ridge,3.4001579071629853
zone4,R20,GBR,GBR,4.822835493096761
zone4,R20,GBR,MLP,4.844925356448382
zone4,R20,GBR,QRLSTM,4.824906260927475
zone4,R20,GBR,Ridge,4.85766892540722
zone4,R20,MLP,GBR,5.404848676312228
zone4,R20,MLP,MLP,5.4374375708122935
zone4,R20,MLP,QRLSTM,5.422917403911333
zone4,R20,MLP,Ridge,5.4303332844153305
zone4,R20,QRLSTM,GBR,5.289089613939283
zone4,R20,QRLSTM,MLP,5.319693011838558
zone4,R20,QRLSTM,QRLSTM,5.295593256609371
zone4,R20,QRLSTM,Ridge,5.348275554036149
zone4,R20,Ridge,GBR,4.999000531817966
zone4,R20,Ridge,MLP,5.021661118684395
zone4,R20,Ridge,QRLSTM,5.001721340878386
zone4,R20,Ridge,Ridge,4.993452776391199
zone5,R01,GBR,GBR,1.7436427376107013
zone5,R01,GBR,MLP,1.757797924617577
zone5,R01,GBR,QRLSTM,1.747864341474173
zone5,R01,GBR,Ridge,1.7511987033996712
zone5,R01,MLP,GBR,1.6639490509206802
zone5,R01,MLP,MLP,1.6688545461545554
zone5,R01,MLP,QRLSTM,1.66282019208002
zone5,R01,MLP,Ridge,1.6774016966852627
zone5,R01,QRLSTM,GBR,1.6710361240310176
zone5,R01,QRLSTM,MLP,1.673315159901541
zone5,R01,QRLSTM,QRLSTM,1.6703530090294445
zone5,R01,QRLSTM,Ridge,1.6854314650000697
zone5,R01,Ridge,GBR,1.7518895260209553
zone5,R01,Ridge,MLP,1.769933433752484
zone5,R01,Ridge,QRLSTM,1.7570209699943116
zone5,R01,Ridge,Ridge,1.7552149414850096
zone5,R02,GBR,GBR,1.9575389450654714
zone5,R02,GBR,MLP,1.9695161239860337
zone5,R02,GBR,QRLSTM,1.96189648355578
zone5,R02,GBR,Ridge,1.9618581717115653
zone5,R02,MLP,GBR,1.9147297725847003
zone5,R02,MLP,MLP,1.9196732692335483
zone5,R02,MLP,QRLSTM,1.9143093375315456
zone5,R02,MLP,Ridge,1.9238210713050143
zone5,R02,QRLSTM,GBR,1.922707746114707
zone5,R02,QRLSTM,MLP,1.9253715501858593
zone5,R02,QRLSTM,QRLSTM,1.9228667483372353
zone5,R02,QRLSTM,Ridge,1.9322648945668908
zone5,R02,Ridge,GBR,1.9815850239260933
zone5,R02,Ridge,MLP,1.9991141156671803
zone5,R02,Ridge,QRLSTM,1.9860064421654169
zone5,R02,Ridge,Ridge,1.9828732250568815
zone5,R05P6179775281,GBR,GBR,2.6438146243884773
zone5,R05P6179775281,GBR,MLP,2.6611237500737173
zone5,R05P6179775281,GBR,QRLSTM,2.6518747131874743
zone5,R05P6179775281,GBR,Ridge,2.6520396657237457
zone5,R05P6179775281,MLP,GBR,2.7033771380384657
zone5,R05P6179775281,MLP,MLP,2.7100625287223634
